DayOfWeek,Hour,Minute,CPU Util,CPU Load,VMs No,Initialing VMs,Running VMs,Quarantined VMs,RunningCloudlets,Throughput
6,1,24,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,1,25,66.66666666666667,66.66666666666667,3,0,3,0,2,98.24561403508771
6,1,26,100.0,100.0,3,0,3,0,3,98.36065573770492
6,1,27,0.0,0.0,3,0,3,0,0,106.81818181818181
6,1,28,0.0,0.0,3,0,3,0,0,100.0
6,1,29,0.0,0.0,3,0,3,0,0,100.0
6,1,30,33.333333333333336,33.333333333333336,3,0,3,0,1,96.66666666666667
6,1,31,100.0,250.0,2,0,2,0,5,92.5925925925926
6,1,32,100.0,350.0,2,0,2,0,7,96.66666666666667
6,1,33,100.0,100.0,2,0,2,0,2,109.61538461538463
6,1,34,0.0,0.0,2,0,2,0,0,105.71428571428572
6,1,35,50.0,50.0,2,0,2,0,1,96.96969696969697
6,1,36,100.0,950.0,2,0,2,0,19,71.42857142857143
6,1,37,100.0,900.0,2,0,2,0,18,101.66666666666666
6,1,38,100.0,500.0,2,0,2,0,10,114.28571428571428
6,1,39,100.0,100.0,2,0,2,0,2,115.99999999999999
6,1,40,100.0,350.0,2,0,2,0,7,89.13043478260869
6,1,41,100.0,850.0,2,0,2,0,17,81.48148148148148
6,1,42,100.0,1750.0,2,0,2,0,35,74.28571428571429
6,1,43,100.0,1550.0,2,0,2,0,31,106.55737704918033
6,1,44,100.0,1800.0,2,0,2,0,36,92.42424242424242
6,1,45,100.0,1350.0,2,0,2,0,27,112.32876712328768
6,1,46,100.0,600.0,2,0,2,0,12,130.0
6,1,47,100.0,450.0,2,0,2,0,9,109.09090909090908
6,1,48,50.0,50.0,2,0,2,0,1,117.02127659574468
6,1,49,100.0,900.0,2,0,2,0,18,73.84615384615385
6,1,50,100.0,200.0,2,0,2,0,4,127.45098039215685
6,1,51,0.0,0.0,3,1,2,0,0,110.25641025641026
6,1,52,0.0,0.0,3,1,2,0,0,100.0
6,1,53,33.333333333333336,66.66666666666667,3,1,2,0,2,96.22641509433963
6,1,54,66.66666666666667,266.6666666666667,3,1,2,0,8,87.75510204081633
6,1,55,66.66666666666667,166.66666666666666,3,0,3,0,5,105.88235294117648
6,1,56,0.0,0.0,3,0,3,0,0,109.25925925925925
